Occupation,Ever been married or in union,Has an account in a bank or other financial institution,Year of first cohabitation,Religion,Current age,Age of wife/partner,Drinks wine,Region,"Have a job, but currently absent",Sex of household head,Beating justified: wife burns food,Beating justified: wife goes out without telling husband,Age in 5-year groups,Occupation (grouped),On average respondent uses daily: snuff by nose,Employment all year/seasonal,Daughters at home,Drinks other alcohol,Cohabitation duration (grouped),Years lived in place of residence,Drinks rum,Beating justified: wife argues with husband,Drinks beer,Educational level,On average respondent smokes daily: manufactured cigarettes,In the past smoked tobacco every day,Drinks Tafia/Clairin,Drinks alcohol,Country code and phase,Currently residing with wife/partner,Beating justified: wife refuses to have sex with husband,Since how many years smokes respondent,Wife justified refusing sex: husband has other women,Age of household head,Currently working,Beating justified: wife neglects the children,Drinks,index,Beating,target
Ouvrier qualifiï¿½ de type artisanal,No,No,,No religion,28,,No,Nippes,,Male,No,No,25-29,Skilled manual,Product not used,All year,0,No,Never married,2,Yes,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,29,Yes,No,Drinks rum,89,No Beating,0
Artisan,No,No,,No religion,22,,No,Nippes,,Male,No,No,20-24,Unskilled manual,Product not used,All year,0,No,Never married,0,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,29,Yes,No,Drinks rum,90,No Beating,0
Personnel des services directs au particulier,,No,2009.0,Protestant/Methodist/Adventist/Jehova Witness,56,40.0,No,Nippes,,Male,No,No,55-59,Household and domestic,Product not used,Seasonal,0,No,5-9,16,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,56,Yes,No,DrinksTafia/Clairin,91,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,19,,No,Nippes,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,7,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,56,No,No,Drinks beer,92,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,15,,No,Nippes,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,No,Primary,Product not used,,No,Hardly ever,HT7,,No,,Yes,56,No,No,Drinks rum,93,No Beating,0
Chaffeur,No,No,,Catholic,32,,No,Nippes,,Female,No,No,30-34,Sales,Product not used,All year,0,No,Never married,6,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,58,Yes,No,Drinks beer,94,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,No,Nippes,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,58,No,No,Drinks beer,95,No Beating,0
Ingenieur ou cadre technique d'entreprise,,No,2014.0,Vaudousant,26,26.0,No,Nippes,,Female,No,No,25-29,Professional/technical/managerial,Product not used,All year,0,No,0-4,2,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,58,Yes,No,Drinks rum,96,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,15,,No,Nippes,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,70,No,No,Drinks beer,97,No Beating,0
Agriculteur,,No,1996.0,Catholic,44,39.0,Yes,Nippes,,Female,No,No,40-44,Agriculture - self employed,Product not used,Seasonal,0,No,20-24,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,70,Yes,No,Drinks wine,98,No Beating,0
Agriculteur,,No,1981.0,Catholic,63,59.0,No,Nippes,,Female,No,No,60-64,Agriculture - self employed,Product not used,Seasonal,3,No,30+,25,Yes,No,No,No education,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,59,Yes,No,Drinks rum,99,No Beating,0
Chaffeur,,No,2012.0,No religion,30,22.0,No,Nippes,,Female,No,No,30-34,Sales,Product not used,All year,0,No,5-9,2,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,59,Yes,No,No Drinks,100,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,15,,No,Nippes,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,2,Yes,No,No,Primary,Product not used,,No,Hardly ever,HT7,,No,,Yes,59,No,No,Drinks rum,101,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,1996.0,Catholic,49,51.0,No,Nippes,,Male,No,No,45-49,Skilled manual,Product not used,All year,0,No,20-24,10,No,No,Yes,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,49,Yes,No,DrinksTafia/Clairin,102,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,23,,No,Nippes,No,Male,No,No,20-24,Not working,Product not used,,0,No,Never married,8,No,No,No,Primary,Product not used,,Yes,Every day,HT7,,No,,Yes,67,No,No,DrinksTafia/Clairin,103,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Protestant/Methodist/Adventist/Jehova Witness,20,,No,Nippes,,Male,No,No,20-24,Skilled manual,Product not used,All year,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,67,Yes,No,DrinksTafia/Clairin,104,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,16,,No,Nippes,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,10,Yes,No,No,Primary,Product not used,,No,Hardly ever,HT7,,No,,Yes,67,No,No,Drinks rum,105,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,20,,No,Nippes,No,Male,No,No,20-24,Not working,Product not used,,0,No,Never married,11,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,67,No,No,Drinks rum,106,No Beating,0
Policier ou militaire,No,Yes,,Catholic,30,,Yes,Nippes,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,Never married,Visitor,No,No,No,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,67,Yes,No,Drinks wine,107,No Beating,0
Chaffeur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,26,,No,Nippes,,Male,No,No,25-29,Sales,Product not used,All year,0,Yes,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,26,Yes,No,Drinks other alcohol,108,No Beating,0
Agriculteur,,No,1980.0,Catholic,57,48.0,No,Nippes,,Male,No,No,55-59,Agriculture - self employed,Product not used,All year,3,No,30+,Always,No,No,Yes,No education,4,,Yes,Hardly ever,HT7,Living with him,No,,Yes,57,Yes,No,DrinksTafia/Clairin,109,No Beating,0
Commercant et assimilï¿½,,No,1996.0,Protestant/Methodist/Adventist/Jehova Witness,49,52.0,No,Nippes,,Male,No,No,45-49,Sales,Product not used,Seasonal,0,No,20-24,6,Yes,No,No,No education,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,49,Yes,No,Drinks rum,110,No Beating,0
Agriculteur,,Yes,1989.0,Catholic,49,34.0,No,Nippes,,Female,No,No,45-49,Agriculture - self employed,Product not used,Seasonal,0,No,25-29,2,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,34,Yes,No,Drinks beer,111,No Beating,0
Personnel des services directs au particulier,Formerly married,No,1983.0,Catholic,54,,No,Nippes,,Male,No,No,50-54,Household and domestic,Product not used,All year,2,No,30+,5,Yes,No,Yes,No education,3,,Yes,Hardly ever,HT7,,No,,Yes,54,Yes,No,Drinks rum,112,No Beating,0
Chaffeur,,No,2004.0,Catholic,32,29.0,No,Nippes,,Male,No,No,30-34,Sales,Product not used,Occasional,2,No,10-14,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,32,Yes,No,Drinks beer,113,No Beating,0
Chaffeur,,No,1987.0,Protestant/Methodist/Adventist/Jehova Witness,55,51.0,No,Nippes,,Male,No,No,55-59,Sales,Product not used,All year,2,No,25-29,16,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,56,Yes,No,No Drinks,114,No Beating,0
"Clerge, regligieux",,Yes,2008.0,Vaudousant,39,32.0,No,Nippes,,Male,No,No,35-39,Professional/technical/managerial,Product not used,Occasional,0,No,5-9,Always,No,No,Yes,Secondary,5,,No,Hardly ever,HT7,Living with him,No,,Yes,39,Yes,No,Drinks beer,115,No Beating,0
Not working and didn't work in last 12 months,,No,1985.0,Catholic,59,43.0,No,Aire Metropolitaine,No,Male,No,No,55-59,Not working,Product not used,,0,No,30+,27,No,No,No,Primary,5,,No,"No, never",HT7,Living with him,No,,Yes,58,No,No,No Drinks,116,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2006.0,Protestant/Methodist/Adventist/Jehova Witness,34,30.0,No,Aire Metropolitaine,,Male,No,No,30-34,Skilled manual,Product not used,Seasonal,1,Yes,10-14,18,Yes,No,Yes,Higher,Product not used,,No,Every now and then,HT7,Living with him,No,,Yes,70,Yes,No,Drinks other alcohol,117,No Beating,0
Commercant et assimilï¿½,,No,1999.0,Protestant/Methodist/Adventist/Jehova Witness,33,37.0,No,Aire Metropolitaine,,Male,No,No,30-34,Sales,Product not used,All year,2,No,15-19,15,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,33,Yes,No,DrinksTafia/Clairin,118,No Beating,0
Artisan,,No,2001.0,Catholic,43,39.0,No,Aire Metropolitaine,,Male,No,No,40-44,Unskilled manual,Product not used,All year,2,No,15-19,18,No,No,Yes,Primary,Product not used,,Yes,Every day,HT7,Living with him,No,,Yes,42,Yes,No,DrinksTafia/Clairin,119,No Beating,0
Commercant et assimilï¿½,,No,2014.0,Protestant/Methodist/Adventist/Jehova Witness,37,33.0,Yes,Aire Metropolitaine,,Male,No,No,35-39,Sales,Product not used,All year,0,No,0-4,12,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,37,Yes,No,Drinks wine,120,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,25,,No,Aire Metropolitaine,No,Female,No,No,25-29,Not working,Product not used,,0,No,Never married,17,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,56,No,No,DrinksTafia/Clairin,121,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,18,,No,Aire Metropolitaine,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,9,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,56,No,No,Drinks beer,122,No Beating,0
Ouvrier non qualifiï¿½ de type industriel,Formerly married,No,2009.0,Protestant/Methodist/Adventist/Jehova Witness,36,,No,Aire Metropolitaine,,Female,No,No,35-39,Unskilled manual,Product not used,All year,0,Yes,5-9,5,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,56,Yes,No,Drinks other alcohol,123,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2013.0,Protestant/Methodist/Adventist/Jehova Witness,35,27.0,No,Aire Metropolitaine,,Male,No,No,35-39,Skilled manual,Product not used,All year,1,No,0-4,20,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,33,Yes,No,Drinks beer,124,No Beating,0
Commercant et assimilï¿½,,No,1986.0,Protestant/Methodist/Adventist/Jehova Witness,56,57.0,No,Aire Metropolitaine,No,Male,No,No,55-59,Sales,Product not used,Occasional,3,No,30+,26,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,56,No,No,DrinksTafia/Clairin,125,No Beating,0
Profession intermediare/administrative du privï¿½,,No,2005.0,Catholic,34,27.0,No,Aire Metropolitaine,No,Male,No,No,30-34,Professional/technical/managerial,Product not used,Seasonal,1,No,10-14,2,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,56,No,No,DrinksTafia/Clairin,126,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2009.0,Catholic,28,22.0,Yes,Aire Metropolitaine,,Male,No,No,25-29,Skilled manual,Product not used,All year,0,No,5-9,3,Yes,No,Yes,Secondary,Product not used,,Yes,Every day,HT7,Living with him,No,,Yes,28,Yes,No,Drinks wine,127,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,No,Aire Metropolitaine,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,7,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,27,No,No,Drinks beer,128,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,No,1999.0,Catholic,39,38.0,No,Aire Metropolitaine,,Male,No,No,35-39,Skilled manual,Product not used,All year,2,No,15-19,15,Yes,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,39,Yes,No,Drinks rum,129,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Protestant/Methodist/Adventist/Jehova Witness,21,,No,Aire Metropolitaine,,Female,No,No,20-24,Skilled manual,Product not used,All year,0,No,Never married,9,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,46,Yes,No,DrinksTafia/Clairin,130,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Protestant/Methodist/Adventist/Jehova Witness,22,,No,Aire Metropolitaine,,Female,No,No,20-24,Skilled manual,Product not used,All year,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,46,Yes,No,No Drinks,131,No Beating,0
Profession intermediare/administrative du privï¿½,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,21,,No,Aire Metropolitaine,,Female,No,No,20-24,Professional/technical/managerial,Product not used,Occasional,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,46,Yes,No,No Drinks,132,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,18,,No,Aire Metropolitaine,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,46,No,No,No Drinks,133,No Beating,0
Profession intermediare/administrative du privï¿½,,No,2004.0,Catholic,35,34.0,No,Aire Metropolitaine,,Male,No,No,35-39,Professional/technical/managerial,Product not used,All year,1,No,10-14,8,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,35,Yes,No,Drinks beer,134,No Beating,0
"Contremaitre, agent de maitrise",Formerly married,Yes,2005.0,Catholic,33,,Yes,Aire Metropolitaine,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,10-14,5,Yes,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,No,33,Yes,No,Drinks wine,135,No Beating,0
Not working and didn't work in last 12 months,Formerly married,No,1981.0,Catholic,59,,No,Aire Metropolitaine,No,Male,No,No,55-59,Not working,Product not used,,1,No,30+,25,No,No,Yes,Primary,5,,Yes,Every now and then,HT7,,No,,Yes,59,No,No,DrinksTafia/Clairin,136,No Beating,0
Artisan,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,No,Aire Metropolitaine,No,Male,No,No,15-19,Unskilled manual,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,59,No,No,DrinksTafia/Clairin,137,No Beating,0
Personnel des services directs au particulier,No,No,,No religion,15,,Yes,Aire Metropolitaine,No,Male,No,No,15-19,Household and domestic,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,,No,,Yes,59,No,No,Drinks wine,138,No Beating,0
Employï¿½ du commerce,Formerly lived with a woman,No,1996.0,No religion,40,,No,Nippes,,Female,No,No,40-44,Sales,Product not used,All year,1,No,20-24,Always,Yes,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,,No,,No,69,Yes,No,Drinks rum,139,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,16,,No,Nippes,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,Yes,,Yes,69,No,No,Drinks beer,140,wife refuses to have sex with husband,1
Ouvrier qualifiï¿½ de type artisanal,No,No,,Catholic,36,,Yes,Nippes,,Female,No,No,35-39,Skilled manual,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,47,Yes,No,Drinks wine,141,No Beating,0
Profession de l'information des arts et spectacles,,Yes,2015.0,No religion,26,23.0,No,Nippes,,Female,No,No,25-29,Professional/technical/managerial,Product not used,All year,0,No,0-4,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,Living with him,No,,Yes,67,Yes,No,Drinks rum,142,No Beating,0
"Contremaitre, agent de maitrise",,Yes,1997.0,No religion,43,37.0,No,Nippes,,Female,No,No,40-44,Professional/technical/managerial,Product not used,Seasonal,1,No,20-24,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,67,Yes,No,Drinks beer,143,No Beating,0
Artisan,Formerly married,No,2005.0,Catholic,30,,No,Nippes,,Male,No,No,30-34,Unskilled manual,Product not used,All year,0,No,10-14,Always,No,No,No,Primary,5,,Yes,Hardly ever,HT7,,No,,Yes,30,Yes,No,DrinksTafia/Clairin,144,No Beating,0
"Contremaitre, agent de maitrise",No,No,,Protestant/Methodist/Adventist/Jehova Witness,16,,No,Nippes,,Female,Yes,Yes,15-19,Professional/technical/managerial,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,51,Yes,No,DrinksTafia/Clairin,145,wife goes out without telling husband,1
"Contremaitre, agent de maitrise",No,No,,Protestant/Methodist/Adventist/Jehova Witness,22,,No,Nippes,,Female,No,No,20-24,Professional/technical/managerial,Product not used,All year,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,42,Yes,No,No Drinks,146,No Beating,0
Employï¿½ du commerce,No,Yes,,Catholic,35,,Yes,Nippes,,Male,No,No,35-39,Sales,Product not used,All year,0,No,Never married,Always,Yes,No,Yes,Higher,Product not used,,Yes,Every day,HT7,,No,,Yes,35,Yes,No,Drinks wine,147,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,23,,Yes,Nippes,No,Male,No,No,20-24,Not working,Product not used,,0,Yes,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every day,HT7,,No,,No,35,No,No,Drinks other alcohol,148,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,23,,No,Nippes,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,,No,,Yes,80,No,No,Drinks beer,149,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,No,2017.0,Catholic,29,27.0,No,Nippes,,Female,Yes,Yes,25-29,Skilled manual,Product not used,Occasional,0,No,0-4,Always,No,Yes,No,Primary,Product not used,No,Yes,Every day,HT7,Staying elsewhere,Yes,,No,63,Yes,Yes,DrinksTafia/Clairin,150,wife goes out without telling husband,1
Ouvrier qualifiï¿½ de type industriel,No,No,,No religion,20,,Yes,Nippes,,Female,Yes,Yes,20-24,Skilled manual,Product not used,Occasional,0,No,Never married,Always,Yes,Yes,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,Yes,,Yes,63,Yes,Yes,Drinks wine,151,wife goes out without telling husband,1
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,19,,No,Nippes,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,8,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,45,No,No,Drinks beer,152,No Beating,0
Employï¿½ administratif du secteur privï¿½,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,39,,No,Nippes,,Male,No,No,35-39,Professional/technical/managerial,Product not used,All year,0,No,Never married,10,No,No,No,Higher,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,39,Yes,No,DrinksTafia/Clairin,153,No Beating,0
Agriculteur,Formerly married,No,1982.0,No religion,64,,No,Nippes,,Male,No,Yes,60-64,Agriculture - self employed,Product not used,Seasonal,0,No,30+,Always,No,Yes,No,No education,Product not used,,Yes,Hardly ever,HT7,,No,,No,64,Yes,No,DrinksTafia/Clairin,154,wife goes out without telling husband,1
Not working and didn't work in last 12 months,No,No,,No religion,20,,No,Nippes,No,Male,No,No,20-24,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Primary,5,,Yes,Every day,HT7,,No,,Yes,64,No,No,Drinks rum,155,No Beating,0
Not working and didn't work in last 12 months,,Yes,1987.0,Catholic,57,40.0,No,Nippes,No,Female,No,No,55-59,Not working,Product not used,,2,No,30+,Always,Yes,No,Yes,No education,4,,No,Every day,HT7,Living with him,No,,No,40,No,No,Drinks rum,156,No Beating,0
